id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,topic,topic_url,created_at
424,delay,v.,"Trì hoãn, hoãn lại",/di'lei/,to not do something until a later time or to make something happen at a later time,"He delayed telling her the news, waiting for the right moment.","Anh trì hoãn nói cho cô ấy tin, chờ đợi đúng thời điểm.",https://audio.tflat.vn/data/cache/images/300x225/d/e/delay1.jpg,https://audio.tflat.vn/audio/d/e/delay.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
425,depart,v.,"Khởi hành, rời khỏi",/di'pɑ:t/,"to leave a place, especially to start a trip",Flights for Rome depart from Terminal 3.,Chuyến bay đi Rome khởi hành tại Trạm 3.,https://audio.tflat.vn/data/cache/images/300x225/d/e/depart1.png,https://audio.tflat.vn/audio/d/e/depart.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
426,embarkation,n.,"‹sự/quá trình› lên tàu, cho lên tàu",/em'bɑ:'keiʃn/,the act of getting onto a ship,The flight creaw must check the passengers's documents before embarkation.,Phi hành đoàn phải kiểm tra giấy tờ của hành khách trước khi cho lên máy bay.,https://audio.tflat.vn/data/cache/images/300x225/e/m/embarkation.jpg,https://audio.tflat.vn/audio/e/m/embarkation.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
427,itinerary,n.,Lộ trình,/aɪˈtɪnərəri/,"a plan of a trip, including the route and the places that you visit",I had to change my itinerary when I decided to add two more countries to my vacation.,Tôi đã phải đổi lộ trình khi tôi đã quyết định thêm vào 2 quốc gia nữa cho kỳ nghỉ của tôi.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_tour_o_ex2_56248cfc7f8b9afa0cb17f4c.jpg,https://audio.tflat.vn/audio/i/t/itinerary.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
428,prohibit,v.,"Cấm, ngăn cấm",/prə(ʊ)ˈhɪbɪt/,"to stop something from being done or used, especially by law",Smoking is prohibited here.,Hút thuốc bị cấm ở đây.,https://audio.tflat.vn/data/cache/images/300x225/p/r/prohibit1.jpg,https://audio.tflat.vn/audio/p/r/prohibit.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
429,valid,adj.,"Có giá trị, có hiệu lực",/'vælid/,that is legally or officially acceptable,I need to make certain that my passport is valid if we plan to go overseas this December.,Tôi cần biết chắc rằng hộ chiếu của tôi có giá trị nếu chúng tôi dự tính xuất ngoại tháng 12 này.,https://audio.tflat.vn/data/cache/images/300x225/v/a/valid1.jpeg,https://audio.tflat.vn/audio/v/a/valid.mp3,General Travel,https://tienganhtflat.com/blog/toeic-words-general-travel,2026-07-24 17:22:34.132489
430,shopping,n.,Mua sắm,/ˈʃɒpɪŋ/,,Let's go shopping.,Nào cùng nhau đi mua sắm.,https://audio.tflat.vn/data/cache/images/300x225/s/h/shopping11.jpg,https://audio.tflat.vn/audio/s/h/shopping1.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
431,bargain,n.,"Món hời, cơ hội tốt (buôn bán)",/bɑːɡən/,"to discuss prices, with somebody in order to reach an agreement that is acceptable",Lois compared the sweaters carefully to determine which was a better bargain.,Lois so sánh cẩn thận những chiếc áo len để xác định cái nào là món hời hơn.,https://audio.tflat.vn/data/cache/images/300x225/b/a/bargain1.jpg,https://audio.tflat.vn/audio/b/a/bargain.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
432,bear,v.,"Chịu đựng, cam chịu",/beə/,to be able to accept and deal with something unpleasant,Moya doesn't like crowds so she cannot bear shopping during the holiday rush.,Moya không thích đám đông vì thế cô không chịu đi mua sắm trong kỳ đổ xô đi sắm dịp lễ.,https://audio.tflat.vn/data/cache/images/300x225/b/e/bear1.jpg,https://audio.tflat.vn/audio/b/e/bear.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
433,behaviour,n.,"Thái độ, hành vi, cách cư xử, cách đối xử, cách ăn ở",/bi'heivjə/,"the way that somebody behaves, especially towards other people",Suspicious behaviour in a department store will draw the attention of the security guards.,Thái độ khả nghi ở trong cửa hàng bách hóa sẽ thu hút sự chú ý của nhân viên an ninh.,https://audio.tflat.vn/data/images_example/300x225/s/u/suspicious_ex1_580de4657f8b9a84688b4597.png,https://audio.tflat.vn/audio/b/e/behaviour.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
434,checkout,n.,"Thanh toán, quầy thanh toán (ở siêu thị, ks...)",/tʃɛk aʊt/,the place where you pay for the things that you are buying in a supermarket,"The line at this checkout is too long, so let's look for another.","Hàng chờ tại quầy tính tiền này dài quá, vậy chúng ta hãy đi tìm hàng khác.",https://audio.tflat.vn/data/cache/images/300x225/c/h/checkout_n2.jpg,https://audio.tflat.vn/audio/c/h/checkout_n.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
435,comfort,n.,"Sự thoải mái, dễ dàng",/'kʌmfət/,the state of being physically relaxed or having a pleant life,I like to dress for comfort if I'm spending the day shopping.,Tôi thích ăn mặc thoải mái (không gò bó) nếu tôi bỏ ra cả ngày đi mua sắm.,https://audio.tflat.vn/data/cache/images/300x225/c/o/comfort1.png,https://audio.tflat.vn/audio/c/o/comfort.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
436,expand,v.,"Mở rộng, phát triển",/iks'pænd/,"to become greater in size, number or importance",The telephone networks in rural areas should be expanded.,Mạng lưới điện thoại ở các vùng sâu vùng xa nên được mở rộng.,https://audio.tflat.vn/data/cache/images/300x225/e/x/expand1.jpg,https://audio.tflat.vn/audio/e/x/expand.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
437,explore,v.,"Khảo sát, thăm dò, khám phá",/iks'plɔ:/,to examine something completely or carefully to find out more about it,Reading history books is like exploring the past.,Đọc cuốn sách lịch sử là như khám phá quá khứ.,https://audio.tflat.vn/data/cache/images/300x225/e/x/explore1.jpg,https://audio.tflat.vn/audio/e/x/explore.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
438,item,n.,"Khoản, món, mục, mặt hàng",/'aitem/,"one thing on a list of things to buy, do, talk about, etc",Do you think I can get all these items into one bag?,Cô có nghĩ rằng tôi có thể để tất cả món đồ này vào một cái túi không?,https://audio.tflat.vn/data/cache/images/300x225/i/t/item1.png,https://audio.tflat.vn/audio/i/t/item.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
439,mandatory,adj.,"(thuộc) lệnh, bắt buộc",/'mændətəri/,required by law,The jewelry store has a mandatory policy of showing customers only one item at a time.,Cửa hàng nữ trang có một chính sách bắt buộc là chỉ cho khách xem mỗi lúc một món đồ.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_jewelr_ex1_56248d157f8b9a040dc65f0c.jpg,https://audio.tflat.vn/audio/m/a/mandatory.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
440,merchandise,n.,Hàng hóa,/'mə:tʃəndaiz/,goods that are bought or sold; goods that are for sale in a shop / store,I am very impressed with the selection of merchandise at this store.,Tôi rất có ấn tượng với sự tuyển chọn hàng hóa tại cửa hàng này.,https://audio.tflat.vn/data/cache/images/300x225/m/e/merchandise1.jpg,https://audio.tflat.vn/audio/m/e/merchandise.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
441,strictly,adv.,"‹một cách› nghiêm ngặt, nghiêm khắc",/ˈstrɪktli/,with a lot of control and rules that must be obeyed,Our store strictly enforces its return policy.,Cửa hàng chúng tôi thực thi nghiêm ngặt chính sách hoàn trả hàng của mình.,https://audio.tflat.vn/data/cache/images/300x225/s/t/strictly1.png,https://audio.tflat.vn/audio/s/t/strictly.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
442,trend,n.,Xu hướng,/trend/,a general diretion in which a situation is changing or developing,The youth try to keep up with the fashion trend.,Giới trẻ cố gắng bắt kịp xu hướng thời trang.,https://audio.tflat.vn/data/cache/images/300x225/t/r/trend1.jpg,https://audio.tflat.vn/audio/t/r/trend.mp3,Shopping,https://tienganhtflat.com/blog/toeic-words-shopping,2026-07-24 17:22:34.132489
443,charge,v.,Tính phí,/tʃɑːdʒ/,to ask an amount of money for goods or a service,What did they charge for the repairs?,Họ đã tính phí gì cho việc sửa chữa?,https://audio.tflat.vn/data/cache/images/300x225/c/h/charge1.png,https://audio.tflat.vn/audio/c/h/charge.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
444,compile,v.,"Soạn, biên soạn, soạn thảo",/kəmˈpaɪl/,"to produce a book, list, report, etc. by bringing together different items, articles, songs, etc.",The clerk is responsible for compiling the orders at the end of the day.,Người nhân viên chịu trách nhiệm soạn các đơn đặt hàng vào cuối ngày.,https://audio.tflat.vn/data/cache/images/300x225/c/o/compile1.png,https://audio.tflat.vn/audio/c/o/compile.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
445,customer,n.,Khách hàng (người mua hàng hóa hoặc dịch vụ),/'kʌstəmə/,a person or an organization that buys something from a store or business,Let's make sure all invoices sent to customers are kept in alphabetical order.,Chúng ta phải chắc rằng mọi hóa đơn gửi cho khách hàng được giữ theo thứ tự ABC.,https://audio.tflat.vn/data/cache/images/300x225/c/u/customer1.jpg,https://audio.tflat.vn/audio/c/u/customer.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
446,discount,n.,Sự giảm giá,/ˈdɪskaʊnt/,an amount of money that is taken off the usual cost of something,Do you get a discount if you pay in cash?,Bạn có được sự giảm giá nếu trả bằng tiền mặt không?,https://audio.tflat.vn/data/cache/images/300x225/d/i/discount-n1.jpg,https://audio.tflat.vn/audio/d/i/discount-n.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
447,efficient,adj.,"Có hiệu quả, có hiệu suất, có năng suất (cao)",/i'fiʃənt/,"doing something well and thoroughly with no waste of time, money, or energy",The accountant was so efficient in processing the customer receipts that she had the job done before lunch.,Nhân viên kế toán làm việc hiệu quả trong việc xử lý các hóa đơn khách hàng đến nỗi cô ta đã hoàn tất công việc trước bữa trưa.,https://audio.tflat.vn/data/cache/images/300x225/e/f/efficient1.png,https://audio.tflat.vn/audio/e/f/efficient.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
448,estimate,v.,Ước lượng,/ˈestɪmət/,"to form an idea of the cost, size, value etc. of something, but without calculating it exactly",We estimated our losses this year at about five thousand dollars.,Chúng tôi ước tính thua lỗ trong năm nay của chúng tôi là vào khoảng 5 ngàn đô-la.,https://audio.tflat.vn/data/cache/images/300x225/e/s/estimate1.png,https://audio.tflat.vn/audio/e/s/estimate.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
449,impose,v.,"Bắt chịu, bắt gánh vác",/im'pouz/,"to introduce a new law, rule, tax, etc.; to order that a rule, punishment, etc. be used",The company will impose a surcharge for any items returned.,Công ty phải chịu một khoản phí tổn thêm với bất kỳ sản phẩm nào bị trả lại.,https://audio.tflat.vn/data/cache/images/300x225/i/m/impose1.png,https://audio.tflat.vn/audio/i/m/impose.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
450,mistake,n.,"Lỗi, sai, nhầm",/mis'teik/,an action or an opinion that is not correct,I made a mistake in adding up your bill and we overcharged you twenty dollars.,Tôi đã nhầm lẫn khi tính tổng hóa đơn của anh và chúng tôi đã tính quá của anh 20 đô-la.,https://audio.tflat.vn/data/cache/images/300x225/m/i/mistake1.png,https://audio.tflat.vn/audio/m/i/mistake.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
451,order,n.,Đơn đặt hàng,/'ɔ:də/,a request to make or supply goods,The customer placed an order for ten new chairs.,Người khách hàng đưa đơn đặt hàng 10 cái ghế mới.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_custom_ex1_56248cf37f8b9af80c011edd.jpg,https://audio.tflat.vn/audio/o/r/order.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
452,promptly,adv.,"Mau lẹ, nhanh chóng, ngay lập tức, tức thời",/ˈprɒmptli/,without delay,We always reply promptly to customers' letters.,Chúng tôi luôn hồi âm nhanh chóng các lá thư của khách hàng.,https://audio.tflat.vn/data/cache/images/300x225/p/r/promptly1.png,https://audio.tflat.vn/audio/p/r/promptly.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
453,rectify,v.,"Sửa cho đúng, sửa cho ngay",/'rektifai/,to put right something that is wrong,"Embarrassed at his behavior, he rectified the situation by writing a letter of apology.","Xấu hổ về thái độ của mình, anh ta đã sửa chữa tình huống bằng cách viết thư tạ lỗi.",https://audio.tflat.vn/data/cache/images/300x225/r/e/rectify1.png,https://audio.tflat.vn/audio/r/e/rectify.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
454,terms,n.,"Điều kiện, điều khoản",/tɜːmz/,"the conditions that people offer, demand, or accept when they make an agreement, an arrangement, or a contract",The terms of payment were clearly listed at the bottom of the invoice.,Các điều kiện thanh toán đã được liệt kê rõ ràng ở bên dưới hóa đơn.,https://audio.tflat.vn/data/cache/images/300x225/t/e/terms1.png,https://audio.tflat.vn/audio/t/e/terms.mp3,Invoice,https://tienganhtflat.com/blog/toeic-words-invoice,2026-07-24 17:22:34.132489
455,music,n.,Âm nhạc,/ˈmjuːzɪk/,,The poem has been set to music.,Bài thơ đã được phổ nhạc.,https://audio.tflat.vn/data/cache/images/300x225/m/u/music1.jpg,https://audio.tflat.vn/audio/m/u/music.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
456,available,adj.,"Có sẵn, sẵn sàng",/əˈveɪləbl/,"that you can get, buy, or find",This was the only room available.,Đây là căn phòng duy nhất có sẵn.,https://audio.tflat.vn/data/images_example/300x225/t/h/this_was_t_ex1_56248d007f8b9afc0c298119.jpg,https://audio.tflat.vn/audio/a/v/available.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
457,broaden,v.,Mở rộng,/ˈbrɔːdən/,to become wider,You will appreciate music more if you broaden your tastes and listen to several types of music.,Bạn sẽ biết thưởng thức âm nhạc hơn nếu bạn mở rộng thị hiếu của mình và lắng nghe vài loại âm nhạc.,https://audio.tflat.vn/data/cache/images/300x225/b/r/broaden1.jpg,https://audio.tflat.vn/audio/b/r/broaden.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
458,category,n.,"Loại, hạng",/ˈkætəɡɔːri/,group of people or things with particular features in common,We have various categories of goods here.,Chúng tôi có nhiều loại hàng hóa khác nhau ở đây.,https://audio.tflat.vn/data/images_example/300x225/w/e/we_have_va_ex1_56248d017f8b9afc0c2982b5.jpg,https://audio.tflat.vn/audio/c/a/category.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
459,disparate,adj.,Hoàn toàn khác nhau,/'dispərit/,made up of parts or people that are very different from each other,Religious song cut across disparate categories of music.,Bài hát tôn giáo (thánh ca) tách hẳn ra làm thể loại âm nhạc khác biệt.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disparate1.png,https://audio.tflat.vn/audio/d/i/disparate.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
460,divide,v.,"Chia ra, chia",/dɪˈvaɪd/,to separate or make something separate into parts,The English Channel divides England from France.,Kênh Anh chia nước Anh khỏi Pháp.,https://audio.tflat.vn/data/cache/images/300x225/d/i/divide2.png,https://audio.tflat.vn/audio/d/i/divide.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
461,favor,v.,"Thích, thiện cảm",/'feivə/,"to prefer one plan, way of doing something, ect to another",Sam enjoys the works of several composers but he tends to favor Mozart.,Sam thưởng thức các tác phẩm của vài nhà soạn nhạc nhưng anh có khuynh hướng thiên về Mozart hơn.,https://audio.tflat.vn/data/cache/images/300x225/f/a/favor-v1.jpg,https://audio.tflat.vn/audio/f/a/favor-v.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
462,instinct,n.,"Bản năng, năng khiếu",/in'stiɳkt/,a natural tendency for people and animals to behave in a,"The child's ability to play the cello was so natural, it seemed an instinct.","Khả năng chơi đàn cello của cậu bé này quả là trời cho, nó dường như là 1 bản năng.",https://audio.tflat.vn/data/cache/images/300x225/i/n/instinct1.png,https://audio.tflat.vn/audio/i/n/instinct.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
463,prefer,v.,Thích hơn,/prɪˈfɜ:r/,to like one thing or person better than another,I prefer reading a book to watching TV.,Tôi thích đọc sách hơn xem TV.,https://audio.tflat.vn/data/cache/images/300x225/p/r/prefer1.png,https://audio.tflat.vn/audio/p/r/prefer.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
464,reason,n.,Lý do,/'ri:zn/,a cause or an explanation for something that has happened,Give me one good reason why I should help you.,Cho tôi một lí do tại sao tôi nên giúp bạn.,https://audio.tflat.vn/data/cache/images/300x225/r/e/reason1.jpg,https://audio.tflat.vn/audio/r/e/reason.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
465,relaxation,n.,"Thư giãn, giải trí","/,ri:læk'seiʃn/",ways of resting and enjoying yourself,These powerful relaxation techniques will help you relieve stress.,Những phương pháp thư giãn tuyệt vời này sẽ giúp bạn bớt căng thẳng.,https://audio.tflat.vn/data/cache/images/300x225/r/e/relaxation1.png,https://audio.tflat.vn/audio/r/e/relaxation.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
630,enroll,verb,đăng ký,/ɪnˈroʊl/,to register officially,She enrolled in a TOEIC course.,Cô ấy đăng ký khóa học TOEIC.,,,Education,,2026-07-24 17:36:44.573617
631,franchise,noun,nhượng quyền,/ˈfræntʃaɪz/,a business operating under a brand,They opened a restaurant franchise.,Họ mở một cửa hàng nhượng quyền.,,,Business,,2026-07-24 17:36:44.573617
466,taste,n.,"Vị giác, nếm, sở thích, thị hiếu",/teist/,a person's ability to choose things that people recognize as being of good quality or appropriate,He has very good taste in music.,Anh ấy rất biết thưởng thức âm nhạc.,https://audio.tflat.vn/data/cache/images/300x225/t/a/taste1.png,https://audio.tflat.vn/audio/t/a/taste.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
467,urge,v.,"Thúc giục, khuyến cáo",/ə:dʒ/,to advise or try hard to persuade someone to do something,His mother urged him to study the piano.,Mẹ anh ta đã thúc giục anh ta học đàn piano.,https://audio.tflat.vn/data/cache/images/300x225/u/r/urge1.png,https://audio.tflat.vn/audio/u/r/urge.mp3,Music,https://tienganhtflat.com/blog/toeic-words-music,2026-07-24 17:22:34.132489
468,train,n.,Tàu hỏa,/treɪn/,,We love travelling by train.,Chúng tôi thích đi du lịch bằng tàu hỏa.,https://audio.tflat.vn/data/cache/images/300x225/t/r/train2.jpg,https://audio.tflat.vn/audio/t/r/train.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
469,comprehensive,adj.,"Bao hàm, toàn diện","/,kɔmpri'hensiv/","including all, or almost all, the items, details, facts, information, etc., that may be concerned","Our travel agent gave us a comprehensive travel package, including rail passes.","Người đại lý du lịch của chúng tôi trao cho một gói du lịch toàn diện, kể cả đi tàu lửa.",https://audio.tflat.vn/data/cache/images/300x225/c/o/comprehensive2.jpg,https://audio.tflat.vn/audio/c/o/comprehensive.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
470,deluxe,adj.,"Sang trọng, chất lượng cao",/di'luks ; di'lʌks/,luxurious,My parents decided to splurge on deluxe accommodations for their trip.,Cha mẹ tôi đã quyết định tiêu tiền thoải mái vào tiện nghi xa hoa cho chuyến đi của họ.,https://audio.tflat.vn/data/cache/images/300x225/d/e/deluxe1.jpg,https://audio.tflat.vn/audio/d/e/deluxe.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
471,directory,n.,"Sách hướng dẫn, danh bạ",/dɪˈrektəri/,"a book containing lists of information, usually in alphabetical order",We consulted the directory to see where the train station was located.,Chúng tôi đã tham khảo danh bạ điện thoại để xem ga xe lửa nằm ở chỗ nào.,https://audio.tflat.vn/data/cache/images/300x225/d/i/directory2.png,https://audio.tflat.vn/audio/d/i/directory.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
472,duration,n.,Khoảng thời gian,/djuə'reiʃn/,the length of time that something lasts or continues,Mother lent me her spare jacket for the duration of the trip.,Mẹ đã cho tôi mượn chiếc áo khoác để dành của bà cho suốt thời gian chuyến đi (của tôi).,https://audio.tflat.vn/data/cache/images/300x225/d/u/duration2.jpg,https://audio.tflat.vn/audio/d/u/duration.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
473,entitle,v.,Cho phép làm cái gì,/ɪnˈtaɪt(ə)l/,to give someone the right to have or to do something,"During the holiday rush, a train ticket entitled the passenger to a ride, but not necessarily a seat.","Trong suốt mùa cao điểm nghỉ lễ, vé xe lửa cho phép hành khách lên tàu tàu, nhưng không nhất thiết có một chỗ ngồi.",https://audio.tflat.vn/data/images_example/300x225/d/u/during_the_ex1_56248d007f8b9afc0c2980c9.jpg,https://audio.tflat.vn/audio/e/n/entitle.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
474,fare,n.,Tiền vé,/feə/,"the money that you pay to travel by bus, plane, taxi, etc.",Pay your fare at the ticket office and you will get a ticket to board the train.,Thanh toán cước phí của anh tại phòng vé và anh sẽ nhận được một vé lên tàu.,https://audio.tflat.vn/data/cache/images/300x225/f/a/fare1.png,https://audio.tflat.vn/audio/f/a/fare.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
475,offset,v.,"Bù lại, đền bù",/'ɔ:fset/,"to use one cost, payment, or situation in order to cancel or reduce the effect of another",The high cost of the hotel room offset the savings we made by taking the train instead of the plane.,Chi phí cao của khách sạn bù lại khoản tiết kiệm mà chúng tôi đã có bằng cách đi xe lửa thay vì máy bay.,https://audio.tflat.vn/data/cache/images/300x225/o/f/offset1.jpg,https://audio.tflat.vn/audio/o/f/offset.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
476,operate,v.,"Vận hành, làm cho hoạt động",/'ɔpəreit/,to work in a particular way,The train only operates in this area at the height of the tourist season.,Xe lửa chỉ chạy trong khu vực này vào lúc cao điểm của mùa du lịch.,https://audio.tflat.vn/data/cache/images/300x225/o/p/operate1.png,https://audio.tflat.vn/audio/o/p/operate.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
477,punctually,adv.,"Đúng giờ, không chậm trễ",/'pʌɳktjuəli/,happening at the arranged or correct time,Please be on time; the train leaves punctually at noon.,Hãy đến kịp giờ; xe lửa rời ga đúng giờ vào buổi trưa.,https://audio.tflat.vn/data/cache/images/300x225/p/u/punctually2.jpg,https://audio.tflat.vn/audio/p/u/punctually.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
478,relatively,adv.,Tương đối,/'relətivli/,to a fairly large degree,The train is relatively empty for this time of day.,Đoàn tàu hơi vắng khách vào lúc này trong ngày.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_train__ex1_56248d167f8b9a040dc661a8.jpg,https://audio.tflat.vn/audio/r/e/relatively.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
479,remainder,n.,"Phần còn lại, số dư",/ri'meində/,"the remaining people, things, or time","The Alaskan frontier has train service in the summer, but for the remainder of the year the tracks are impassable.","Biên giới ở Alaska có dịch vụ xe lửa vào mùa hè, nhưng vào lúc còn lại của năm thì đường ray không thể đi qua được (do bị đóng băng).",https://audio.tflat.vn/data/cache/images/300x225/r/e/remainder1.png,https://audio.tflat.vn/audio/r/e/remainder.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
480,remote,adj.,"Xa xôi, hẻo lánh",/rɪˈməʊt/,far away from places where other people live,We took the train out of the city and found a remote hotel in the country for the weekend.,Chúng tôi đón xe lửa ra khỏi thành phố và tìm một khách sạn cách biệt ở miền quê vào dịp cuối tuần.,https://audio.tflat.vn/data/cache/images/300x225/r/e/remote2.png,https://audio.tflat.vn/audio/r/e/remote.mp3,Trains,https://tienganhtflat.com/blog/toeic-words-trains,2026-07-24 17:22:34.132489
481,disk,n.,"Đĩa (vi tính, thể thao, đĩa hát...)",/disk/,a device for storing information on a computer,Rewritable compact disks are more expensive than read-only CDs.,Đĩa quang có khả năng ghi thì đắt hơn nhiều đĩa CD chỉ đọc.,https://audio.tflat.vn/data/cache/images/300x225/d/i/disk1.png,https://audio.tflat.vn/audio/d/i/disk.mp3,Electronics,https://tienganhtflat.com/blog/toeic-words-electronics-3,2026-07-24 17:22:34.132489
632,headquarters,noun,trụ sở chính,/ˈhedˌkwɔːrtərz/,main office of a company,The headquarters is in Tokyo.,Trụ sở chính ở Tokyo.,,,Business,,2026-07-24 17:36:44.573617
482,facilitate,v.,"Làm cho dễ dàng, làm cho thuận tiện",/fə'siliteit/,to make an action possible or easier,The computer program facilitated the scheduling of appointments.,Chương trình máy tính làm cho việc lập lịch các buổi hẹn được thuận tiện.,https://audio.tflat.vn/data/cache/images/300x225/f/a/facilitate1.png,https://audio.tflat.vn/audio/f/a/facilitate.mp3,Electronics,https://tienganhtflat.com/blog/toeic-words-electronics-3,2026-07-24 17:22:34.132489
483,network,v.,"Kết nối, liên kết",/'netwə:k/,a number of computers and other devices that are connected together,More and more PCs are networked together.,Ngày càng nhiều máy tính được kết nối với nhau.,https://audio.tflat.vn/data/cache/images/300x225/n/e/network1.jpg,https://audio.tflat.vn/audio/n/e/network.mp3,Electronics,https://tienganhtflat.com/blog/toeic-words-electronics-3,2026-07-24 17:22:34.132489
484,popularity,n.,"‹tính/sự› đại chúng, phổ biến, nổi tiếng","/,pɔpju'læriti/",the state of being liked by a large number of people,This brand of computers was at the height of its popularity.,Thương hiệu máy tính này từng nổi tiếng rất nhiều.,https://audio.tflat.vn/data/cache/images/300x225/p/o/popularity1.png,https://audio.tflat.vn/audio/p/o/popularity.mp3,Electronics,https://tienganhtflat.com/blog/toeic-words-electronics-3,2026-07-24 17:22:34.132489
