id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,locally,adverb,tại địa phương; trong phạm vi địa phương,/ˈloʊkəli/,Trong một khu vực hoặc cộng đồng địa phương.,The restaurant sources most of its ingredients locally.,Nhà hàng lấy phần lớn nguyên liệu từ địa phương.,,,easy,B1,600,common,regionally; nearby,internationally,local; locally; locality,locally produced; locally owned; locally sourced,,locally + verb,Locally thường đối lập với internationally/globally.,"Thường gặp trong Shopping, Food và Business.",Shopping,local → locally,word_family,locally = tại địa phương,TRUE,2,,
,location,noun,địa điểm; vị trí,/loʊˈkeɪʃən/,"Nơi một người, vật hoặc hoạt động được đặt hoặc diễn ra.",The company is looking for a new office location.,Công ty đang tìm một địa điểm văn phòng mới.,,,easy,A2,400,extremely common,"site, place, position",,"locate, located, relocation","convenient location, office location, exact location",,location of + noun; located in + place,"Không nhầm location với address; location rộng hơn, còn address là địa chỉ cụ thể.","Rất phổ biến trong Travel, Business và Real Estate.",Business; Travel,location = where something is located,association,location = địa điểm/vị trí,TRUE,1,,
,location benefit,noun phrase,lợi ích của vị trí,/ləʊˈkeɪʃən ˈbenɪfɪt/,Ưu điểm mà vị trí của một bất động sản mang lại.,The location benefit is easy access to public transportation.,Lợi thế vị trí là dễ dàng tiếp cận phương tiện giao thông công cộng.,,,medium,B1,600,uncommon,location advantage,location disadvantage,"locate, location, benefit","key location benefit, location benefits",,benefit of + location,"Không nhầm benefit với feature; benefit là lợi ích, feature là đặc điểm.",Thường dùng trong marketing bất động sản.,Real Estate / Marketing,benefit = điều tốt nhận được,contrast,location benefit = lợi ích từ vị trí,TRUE,2,,
,location manager,noun phrase,quản lý địa điểm,/ləʊˈkeɪʃən ˈmænɪdʒə/,Người chịu trách nhiệm quản lý hoạt động tại một địa điểm hoặc cơ sở cụ thể.,The location manager oversees operations at the new branch.,Quản lý địa điểm giám sát hoạt động tại chi nhánh mới.,,,medium,B1,600,uncommon,"site manager, branch manager",,"locate, location, manage, manager","location manager, site manager",manage,manager of + location/site,Không nhầm location manager với property manager; chức danh phụ thuộc ngành và nhiệm vụ.,"Có thể dùng trong bán lẻ, khách sạn, sản xuất hoặc sự kiện.",Business,location + manager,association,manager phụ trách một location,TRUE,3,,
,location map,noun phrase,bản đồ vị trí,/loʊˈkeɪʃən mæp/,Bản đồ cho biết vị trí của một địa điểm hoặc bất động sản.,The agent sent us a location map of the property.,Môi giới gửi cho chúng tôi bản đồ vị trí của bất động sản.,,,easy,B1,500,common,site map,,"locate, location","property location map, location map",,map of + location,Không nhầm location map với floor plan.,Location map cho biết vị trí; floor plan cho biết bố cục bên trong.,Real Estate,location = vị trí + map = bản đồ,contrast,location map = bản đồ vị trí,TRUE,2,,
,location preference,noun phrase,sở thích/ưu tiên về vị trí,/ləʊˈkeɪʃən ˈprefərəns/,Khu vực hoặc vị trí mà một người ưu tiên lựa chọn.,The survey asks about customers' location preferences.,Khảo sát hỏi về sở thích vị trí của khách hàng.,,,medium,B1,600,uncommon,preferred location,,"prefer, preference","location preference, customer location preference",,preference for + location,Không nhầm preference với requirement; preference không nhất thiết là điều kiện bắt buộc.,Thường dùng trong khảo sát và tìm kiếm bất động sản.,Real Estate / Marketing,preference = điều mình thích hơn,contrast,"preference = ưu tiên, không bắt buộc",TRUE,2,,
,location service,noun phrase,dịch vụ định vị,/loʊˈkeɪʃən ˈsɜːrvɪs/,Dịch vụ cung cấp thông tin vị trí của thiết bị/người dùng.,The travel app requires location services to show nearby attractions.,Ứng dụng du lịch cần dịch vụ định vị để hiển thị các điểm tham quan gần đó.,,,medium,B2,700,common,location tracking service,,"locate, location","location services, enable location services",,location service for + noun,Thường dùng ở dạng số nhiều location services trong công nghệ.,Liên quan đến điện thoại và ứng dụng.,Technology / Travel,location = vị trí,association,location service = dịch vụ xác định vị trí,TRUE,3,,
,lock,noun / verb,khóa; khóa lại,/lɑːk/,Thiết bị dùng để khóa hoặc hành động khóa cửa/vật gì đó.,Please lock the office door before leaving.,Vui lòng khóa cửa văn phòng trước khi rời đi.,,,easy,A2,400,extremely common,secure,unlock,"lock, locked, locking","door lock, safety lock, lock the door","lock up, lock in, lock out",lock + object,"Không nhầm lock với locker; lock là khóa, locker là tủ có khóa.",Rất phổ biến trong văn phòng và an ninh.,Safety,lock = khóa lại để an toàn,association,lock = khóa,TRUE,1,,
,lock into,phrasal verb,cố định vào; cam kết vào,/lɑːk ˈɪntuː/,"Gắn hoặc cam kết vào một lựa chọn, thỏa thuận hoặc điều kiện khó thay đổi.",The company was locked into a long-term contract.,Công ty bị ràng buộc vào một hợp đồng dài hạn.,,,medium,C1,800,uncommon,"commit to, bind to",withdraw from,"lock, locked","lock into a contract, lock into a rate, lock into an agreement",lock into,be locked into + noun; lock A into + noun,Không nhầm lock into với lock in hoàn toàn; lock into nhấn mạnh việc bị gắn/ràng buộc vào một lựa chọn hoặc thỏa thuận.,"Thường dùng với contract, agreement, rate, price.",Finance; Business,lock into = bị “khóa” vào một lựa chọn,visual,locked into a contract = bị ràng buộc,FALSE,4,,
,locker,noun,tủ có khóa; ngăn tủ,/ˈlɑːkər/,Một ngăn/tủ có khóa dùng để cất giữ đồ cá nhân.,Employees can store their belongings in a locker.,Nhân viên có thể cất đồ cá nhân trong tủ có khóa.,,,easy,B1,500,common,"storage compartment, cabinet",,"lock, locked","locker room, storage locker, locker key",,locker for + noun,"Không nhầm locker với lock; locker là tủ/ngăn, lock là khóa.","Thường gặp ở văn phòng, trường học, sân bay và phòng tập.",Office; Travel,lock → locker = place with a lock,word_family,locker = tủ có khóa,TRUE,2,,
,lodger,noun,người thuê phòng ở cùng nhà,/ˈlɑːdʒər/,Người thuê một phòng trong nhà của người khác và thường dùng chung một số khu vực.,The homeowner rented the spare room to a lodger.,Chủ nhà cho một người thuê thuê căn phòng trống.,,,medium,B2,700,uncommon,roomer,,"lodge, lodging",paying lodger; lodger agreement,,rent a room to + lodger,Lodger khác tenant ở chỗ thường thuê phòng trong nhà của chủ nhà và có thể dùng chung không gian.,Thường gặp trong ngữ cảnh thuê nhà.,Real Estate,lodge = ở trọ → lodger = người ở trọ,word_family,lodger = người thuê phòng,FALSE,4,,
,lodging,noun,chỗ ở; nơi lưu trú,/ˈlɑːdʒɪŋ/,"Nơi ở tạm thời, đặc biệt khi đi du lịch hoặc công tác.",The company will arrange lodging for employees attending the conference.,Công ty sẽ sắp xếp chỗ ở cho nhân viên tham dự hội nghị.,,,medium,B1,600,common,"accommodation, housing",,"lodge, lodging","lodging expenses, temporary lodging, lodging facility",,lodging for + person,"Không nhầm lodging với luggage; lodging là chỗ ở, luggage là hành lý.","Lodging phổ biến trong Travel, Hotel và Business Trip.",Travel; Hospitality,lodge → lodging = nơi ở,word_family,lodging = chỗ lưu trú,TRUE,3,,
,lodging facility,noun,cơ sở lưu trú,/ˈlɑːdʒɪŋ fəˈsɪləti/,Cơ sở cung cấp chỗ ở cho khách hoặc người lưu trú.,The new lodging facility can accommodate 200 guests.,Cơ sở lưu trú mới có thể phục vụ 200 khách.,,,hard,B2,700,uncommon,accommodation facility,,"lodge, lodging","lodging facility, lodging facilities",,operate/provide a lodging facility,Không dùng lodging như động từ trong cụm này; lodging là danh từ chỉ chỗ ở.,"Mang tính trang trọng, thường dùng trong tài liệu kinh doanh hoặc du lịch.",Hospitality,lodging = chỗ ở,association,lodging facility = cơ sở lưu trú,TRUE,3,,
,loft,noun,căn hộ gác xép; không gian áp mái,/lɒft/,"Không gian hoặc căn hộ có trần cao, thường mang phong cách mở; cũng có thể chỉ gác xép.",The renovated loft has large windows and an open floor plan.,Căn hộ loft được cải tạo có cửa sổ lớn và thiết kế không gian mở.,,,medium,B2,700,common,loft apartment,,"loft, lofted","loft apartment, converted loft",,loft with + feature,Nghĩa cụ thể thay đổi theo ngữ cảnh kiến trúc.,"Trong bất động sản, loft thường gợi không gian mở và trần cao.",Real Estate,"loft = không gian ở cao, mở",visual,Loft = căn hộ không gian mở,TRUE,4,,
,logical,adjective,hợp lý; logic,/ˈlɑːdʒɪkəl/,Dựa trên lý luận rõ ràng và có sự liên kết hợp lý giữa các ý.,The manager proposed a logical solution to the problem.,Quản lý đề xuất một giải pháp hợp lý cho vấn đề.,,,easy,B1,600,common,"rational, reasonable","illogical, irrational","logic, logically, illogical","logical solution, logical conclusion, logical approach",,logical + noun,"Không nhầm logical với practical; logical = hợp lý về mặt lập luận, practical = khả thi trong thực tế.","Thường dùng khi đánh giá kế hoạch, giải pháp hoặc kết luận.",Business; Communication,logical = makes sense,association,"logical = hợp lý, có logic",TRUE,2,,
,login,noun,thông tin/hoạt động đăng nhập,/ˈlɔːɡɪn/,Thông tin hoặc quá trình dùng để truy cập một hệ thống.,Enter your login details to access the system.,Nhập thông tin đăng nhập để truy cập hệ thống.,,,medium,B2,650,extremely common,"sign-in, log-in",logout,"log in, login","login details, login credentials, login page",log in,log in to the system,"""Log in"" là phrasal verb; ""login"" thường là noun/adjective.",Đây là lỗi rất phổ biến.,Technology / Security,log in = enter system,contrast,log in ↔ log out,TRUE,3,,
,login page,noun phrase,trang đăng nhập,/ˈlɔːɡɪn peɪdʒ/,Trang nơi người dùng nhập thông tin để đăng nhập.,The login page requires a username and password.,Trang đăng nhập yêu cầu tên người dùng và mật khẩu.,,,easy,B1,500,extremely common,sign-in page,,"log in, login","login page, secure login page",log in,log in to + system,Login là danh từ/tính từ; log in là động từ.,Phân biệt login và log in.,Technology,login = vào hệ thống,contrast,log in = hành động; login = tên gọi,TRUE,2,,
,login problem,noun phrase,vấn đề đăng nhập,/ˈlɒɡɪn ˈprɒbləm/,Sự cố khiến người dùng không thể đăng nhập vào hệ thống hoặc tài khoản.,Contact IT support if you experience a login problem.,Hãy liên hệ bộ phận hỗ trợ CNTT nếu bạn gặp vấn đề đăng nhập.,,,easy,B1,500,extremely common,"login issue, sign-in problem",successful login,"log in, login","login problem, login issue",log in,log in to + system/account,"Không nhầm login là động từ trong mọi trường hợp; “log in” là động từ, “login” thường là danh từ/tính từ.",Cách viết “login problem” rất phổ biến trong IT.,Technology,log in = đăng nhập,contrast,log in (verb) ↔ login (noun/adjective),TRUE,2,,
,logistics,noun,hậu cần; logistics,/ləˈdʒɪstɪks/,"Việc lập kế hoạch và quản lý vận chuyển, lưu trữ và phân phối hàng hóa hoặc nguồn lực.",Our logistics team coordinates deliveries across the country.,Đội logistics của chúng tôi điều phối việc giao hàng trên toàn quốc.,,,medium,B2,700,extremely common,"supply chain, distribution",,"logistical, logistician","logistics operations, logistics team, logistics costs",,logistics of + noun,"Không nhầm logistics với transportation; transportation chỉ vận chuyển, logistics bao quát cả lập kế hoạch và quản lý dòng hàng hóa.",Chủ đề rất quan trọng trong TOEIC Business.,Transportation; Manufacturing,logistics = manage how things move and arrive,association,"logistics = hậu cần, vận chuyển và phân phối",TRUE,3,,
,logistics agent,noun phrase,đại lý logistics,/ləˈdʒɪstɪks ˈeɪdʒənt/,Đơn vị hoặc cá nhân thay mặt khách hàng xử lý một số hoạt động logistics.,The logistics agent arranged customs clearance for the shipment.,Đại lý logistics sắp xếp thủ tục thông quan cho lô hàng.,,,hard,C1,800,uncommon,"logistics representative, freight agent",,"logistics, agent, agency","logistics agent, authorized logistics agent",act on behalf of,agent for + company,"Không nhầm logistics agent với carrier; agent có thể sắp xếp dịch vụ thay mặt khách hàng, carrier trực tiếp vận chuyển.",Thuật ngữ chuyên ngành supply chain.,Logistics / Transportation,agent = người đại diện,association,logistics agent = đại lý xử lý logistics,TRUE,4,,
,logistics center,noun phrase,trung tâm logistics,/ləˈdʒɪstɪks ˈsentər/,"Cơ sở tập trung lưu trữ, xử lý và phân phối hàng hóa.",The company opened a new logistics center near the highway.,Công ty mở một trung tâm logistics mới gần đường cao tốc.,,,medium,B2,700,common,distribution center,,"logistics, logistical","logistics center, regional logistics center",,operate a logistics center,Logistics rộng hơn distribution vì bao gồm nhiều hoạt động chuỗi cung ứng.,Dùng trong vận chuyển và kinh doanh.,Transportation,logistics = moving goods efficiently,association,logistics center = trung tâm xử lý hàng,TRUE,4,,
,logistics coordinator,noun phrase,điều phối viên logistics,/ləˈdʒɪstɪks koʊˈɔːrdɪneɪtər/,"Người điều phối việc vận chuyển, giao nhận và các hoạt động logistics.",The logistics coordinator arranged the shipment schedule.,Điều phối viên logistics đã sắp xếp lịch vận chuyển hàng.,,,medium,B2,700,common,logistics manager,,"coordinate, coordinator, coordination","logistics coordinator, shipment schedule",,coordinator for + activity,Logistics liên quan đến vận chuyển và chuỗi cung ứng.,Rất phù hợp ngữ cảnh TOEIC Part 3/4/7.,Transportation; Business,coordinator = người điều phối,word_family,coordinate = điều phối,TRUE,3,,
,logistics cost,noun phrase,chi phí logistics,/ləˈdʒɪstɪks kɔːst/,"Chi phí vận chuyển, lưu kho và các hoạt động logistics liên quan.",Higher fuel prices have increased logistics costs.,Giá nhiên liệu cao hơn đã làm tăng chi phí logistics.,,,medium,B2,700,common,logistics expense,,logistics,"logistics costs, reduce logistics costs",,cost of + logistics activity,Không nhầm logistics cost chỉ với transportation cost.,Logistics bao gồm nhiều hoạt động ngoài vận chuyển.,Logistics,logistics = quản lý dòng hàng,association,logistics cost = chi phí logistics,TRUE,4,,
,logistics hub,noun phrase,trung tâm logistics,/ləˈdʒɪstɪks hʌb/,"Địa điểm trung tâm dùng để tiếp nhận, lưu trữ và phân phối hàng hóa.",The city is developing a logistics hub near the port.,Thành phố đang phát triển một trung tâm logistics gần cảng.,,,medium,B2,750,common,distribution center,,"logistics, logistical","logistics hub, regional logistics hub, logistics center",,develop/operate + a logistics hub,Logistics hub thường kết nối nhiều phương thức vận tải và chuỗi cung ứng.,Rất phù hợp với TOEIC business và transportation.,Transportation / Business,logistics + hub = trung tâm logistics,association,logistics hub = trung tâm kết nối hàng hóa,TRUE,4,,
,logistics network,noun phrase,mạng lưới logistics; mạng lưới hậu cần,/ləˈdʒɪstɪks ˌnetwɜːrk/,"Hệ thống các kho, trung tâm, tuyến vận chuyển và đối tác hỗ trợ phân phối hàng hóa.",The company is expanding its logistics network across Asia.,Công ty đang mở rộng mạng lưới logistics trên khắp châu Á.,,,hard,B2,750,common,"distribution network, supply network",,logistics,"logistics network, distribution network, global network",,expand/build + network,Không nhầm logistics network với transportation network; logistics network bao gồm nhiều mắt xích hơn vận chuyển.,Thường gặp trong chiến lược chuỗi cung ứng.,Logistics,network = mạng lưới,association,logistics network = mạng lưới hậu cần,TRUE,4,,
,logistics provider,noun,nhà cung cấp dịch vụ logistics,/ləˈdʒɪstɪks prəˈvaɪdər/,"Công ty cung cấp dịch vụ vận chuyển, kho bãi hoặc logistics.",We selected a logistics provider with nationwide coverage.,Chúng tôi chọn một nhà cung cấp logistics có phạm vi toàn quốc.,,,medium,C1,800,common,logistics company,,"provide, provider, logistics","logistics provider, third-party logistics provider",,provider of + service,Không nhầm provider với supplier; provider thường cung cấp dịch vụ.,Thuật ngữ phổ biến trong chuỗi cung ứng.,"Transportation, Business",provider = bên cung cấp,word_family,logistics provider = nhà cung cấp logistics,TRUE,4,,
,logistics route,noun phrase,tuyến logistics/tuyến vận chuyển,/ləˈdʒɪstɪks ruːt/,Tuyến đường hoặc chuỗi điểm được sử dụng để vận chuyển hàng hóa.,We optimized the logistics route to reduce costs.,Chúng tôi tối ưu tuyến logistics để giảm chi phí.,,,medium,C1,850,common,"transport route, shipping route",,"logistic, logistics, route","logistics route, optimal route, delivery route",route through,route shipments through a hub,Logistics thường dùng như noun không đếm được.,Route có thể là danh từ hoặc động từ.,Logistics / Supply Chain,route = path goods take,association,path used for logistics,TRUE,4,,
,logo,noun,biểu trưng; logo,/ˈloʊɡoʊ/,"Hình ảnh hoặc ký hiệu đại diện cho một công ty, thương hiệu hoặc tổ chức.",The company redesigned its logo for the new marketing campaign.,Công ty đã thiết kế lại logo cho chiến dịch marketing mới.,,,easy,A2,400,extremely common,"emblem, symbol, mark",,logotype,"company logo, brand logo, official logo",,logo of + company; logo on + product,"Không nhầm logo với slogan; logo là hình/ký hiệu, slogan là câu khẩu hiệu.",Từ rất phổ biến trong Marketing.,Marketing; Business,logo = visual identity,contrast,logo = hình nhận diện thương hiệu,TRUE,2,,
,logout,noun / verb,đăng xuất,/ˈlɒɡaʊt/,Hành động kết thúc phiên đăng nhập của người dùng.,Please log out after using the shared computer.,Vui lòng đăng xuất sau khi sử dụng máy tính dùng chung.,,,easy,B1,500,extremely common,sign out,login,"log out, logout","log out of an account, automatic logout",log out,log out of + account/system,"Không nhầm login với logout; login là đăng nhập, logout là đăng xuất.","""Log out"" thường là động từ; ""logout"" có thể là danh từ/tính từ trong IT.",Technology,out = ra khỏi hệ thống,contrast,"Login = vào, logout = ra.",TRUE,2,,
,long shot,noun phrase,cảnh quay toàn cảnh/xa,/ˌlɔːŋ ˈʃɒt/,cảnh quay cho thấy chủ thể ở khoảng cách xa và nhiều bối cảnh,The director used a long shot to show the entire building.,Đạo diễn dùng cảnh quay xa để cho thấy toàn bộ tòa nhà.,,,hard,B2,750,common,wide shot,close-up,,"long shot, long-shot view",,use a long shot to + verb,Không nhầm long shot với long-term.,"Trong điện ảnh, long shot là thuật ngữ kỹ thuật.",Media,long = xa → shot xa,visual,long shot = cảnh quay rộng,TRUE,4,,
,long trip,noun phrase,chuyến đi dài,/lɔːŋ trɪp/,Chuyến đi kéo dài trong thời gian tương đối lâu hoặc có quãng đường xa.,Please bring enough water for the long trip.,Vui lòng mang đủ nước cho chuyến đi dài.,,,easy,A2,400,extremely common,extended journey,short trip,,"long trip, long-distance trip",,long trip + by/to + place,Không nhầm trip với travel; trip thường là một chuyến đi cụ thể.,Cụm thông dụng trong giao tiếp và du lịch.,Travel,long = dài + trip = chuyến đi,wordplay,long trip = chuyến đi dài,TRUE,1,,
,long-haul,adjective,"đường dài, chuyến bay đường dài",/ˈlɒŋ hɔːl/,Mô tả chuyến đi hoặc chuyến bay kéo dài trên quãng đường rất xa.,The airline recently added two long-haul routes.,Hãng hàng không gần đây đã bổ sung hai tuyến đường dài.,,,medium,B2,750,common,long-distance,short-haul,haul,"long-haul flight, long-haul route, long-haul travel",,long-haul + noun,Không viết thành long haul khi dùng như tính từ đứng trước danh từ.,Chủ yếu dùng trong hàng không và vận tải.,Travel,"long = dài, haul = chặng vận chuyển",word_family,long-haul flight = chuyến bay đường dài,TRUE,3,,
,long-service award,noun phrase,phần thưởng thâm niên,/ˌlɔːŋ ˈsɜːrvɪs əˈwɔːrd/,Giải thưởng ghi nhận nhân viên đã làm việc lâu năm cho tổ chức.,Maria received a long-service award after twenty years with the company.,Maria nhận phần thưởng thâm niên sau hai mươi năm làm việc tại công ty.,,,medium,B2,750,common,"service award, years-of-service award",,"serve, service, award","long-service award ceremony, employee long-service award",serve for,award for + long service,Không nhầm service với customer service; ở đây service chỉ thời gian làm việc phục vụ tổ chức.,Phổ biến trong employee recognition.,HR / Office,long service = phục vụ lâu năm,association,long-service award = thưởng vì làm lâu năm,TRUE,4,,
,long-term,adjective / adverb,dài hạn,/ˌlɔːŋ ˈtɜːrm/,Liên quan đến khoảng thời gian dài hoặc mục tiêu/kế hoạch trong thời gian dài.,We need a long-term strategy for business growth.,Chúng ta cần một chiến lược dài hạn cho sự phát triển kinh doanh.,,,easy,B1,500,extremely common,"enduring, extended",short-term,"long-term, long-termism","long-term strategy, long-term goal, long-term contract",,long-term + noun; in the long term,Không nhầm long-term với long term trong cách viết; trước danh từ thường dùng dấu gạch nối.,Rất thường gặp trong Business và Finance.,Business; Finance,long-term = lasting for a long time,association,long-term = dài hạn,TRUE,2,,
,long-term care,noun phrase,chăm sóc dài hạn,/ˌlɔːŋ ˈtɜːrm ker/,Dịch vụ chăm sóc kéo dài cho người cần hỗ trợ trong thời gian dài.,Insurance may cover part of the cost of long-term care.,Bảo hiểm có thể chi trả một phần chi phí chăm sóc dài hạn.,,,medium,B2,700,extremely common,extended care,short-term care,long-term,"long-term care facility, long-term care insurance",care for,need/receive + long-term care,Long-term thường có dấu gạch nối khi đứng trước danh từ.,Rất phổ biến trong bảo hiểm và chăm sóc người cao tuổi.,Healthcare,long-term = dài hạn + care = chăm sóc,contrast,long-term care = chăm sóc dài hạn,TRUE,3,,
,long-term debt,noun phrase,nợ dài hạn,/ˌlɔːŋ ˈtɜːrm det/,Khoản nợ có thời hạn thanh toán dài hơn một năm hoặc theo chuẩn kế toán liên quan.,The company reduced its long-term debt this year.,Công ty đã giảm nợ dài hạn trong năm nay.,,,easy,C1,800,extremely common,long-term liabilities,short-term debt,owe; debt,long-term debt financing; reduce long-term debt,pay off,debt of + amount,Không nhầm long-term debt với short-term debt.,Rất phổ biến trong báo cáo tài chính.,Finance,long-term = dài hạn,contrast,long-term debt = nợ dài hạn,TRUE,4,,
,long-term liabilities,noun phrase,nợ dài hạn,/ˌlɔːŋ tɜːrm ˌlaɪəˈbɪlətiz/,Các nghĩa vụ tài chính phải thanh toán sau hơn một năm hoặc ngoài chu kỳ kinh doanh ngắn hạn.,Long-term liabilities include several bank loans.,Nợ dài hạn bao gồm một số khoản vay ngân hàng.,,,hard,C1,850,extremely common,"long-term debt, non-current liabilities",current liabilities,"liable, liability","long-term liabilities, long-term debt",pay off,pay off long-term liabilities,Liability là danh từ đếm được.,Thường dùng dạng số nhiều trong balance sheet.,Accounting / Finance,long-term liabilities,word_parts,liabilities trả sau lâu dài,TRUE,5,,
,long-term loan,noun,khoản vay dài hạn,/ˌlɒŋ ˈtɜːm ləʊn/,"Khoản vay có thời hạn hoàn trả dài, thường trên một năm.",The company used a long-term loan to finance the new plant.,Công ty sử dụng khoản vay dài hạn để tài trợ cho nhà máy mới.,,,medium,B2,650,common,long-term financing,short-term loan,"loan, lender, lending","long-term loan agreement, long-term loan repayment",take out,take out a long-term loan,Không nhầm long-term loan với short-term loan.,Thường gặp trong tài chính doanh nghiệp.,Finance,long-term = thời gian dài,contrast,Long-term loan = vay dài hạn,TRUE,3,,
,long-term relationship,noun,mối quan hệ lâu dài,/ˌlɔːŋ tɜːrm rɪˈleɪʃənʃɪp/,"Mối quan hệ được duy trì trong thời gian dài, đặc biệt giữa doanh nghiệp và khách hàng hoặc đối tác.",We hope to build a long-term relationship with our suppliers.,Chúng tôi hy vọng xây dựng mối quan hệ lâu dài với các nhà cung cấp.,,,medium,B2,700,common,lasting relationship; ongoing relationship,short-term relationship,relate; relationship; relational,build a long-term relationship; maintain a long-term relationship; long-term business relationship,,build/maintain a relationship with + noun,Không viết long time relationship khi muốn nói “mối quan hệ lâu dài”.,Long-term thường có dấu gạch nối khi đứng trước danh từ.,Business; Marketing,long-term = lâu dài.,wordplay,Nhớ long-term = kéo dài nhiều năm.,TRUE,3,,
,long-term rental,noun phrase,thuê dài hạn,/ˌlɔːŋ tɜːrm ˈrentəl/,Hình thức thuê tài sản trong một khoảng thời gian dài.,The company offers long-term rental contracts for apartments.,Công ty cung cấp hợp đồng thuê dài hạn cho các căn hộ.,,,easy,B1,600,common,long-term lease,short-term rental,"rent, rental","long-term rental, long-term rental agreement",,offer/provide long-term rental,Long-term thường cần dấu gạch nối khi đứng trước danh từ.,Thường dùng trong bất động sản và xe cộ.,Real Estate,long-term = dài hạn + rental = thuê,contrast,long-term rental ↔ short-term rental,TRUE,2,,
,long-term strategy,noun phrase,chiến lược dài hạn,/ˌlɔːŋ ˈtɜːrm ˈstrætədʒi/,Kế hoạch được xây dựng để đạt mục tiêu trong thời gian dài.,The company needs a long-term strategy for growth.,Công ty cần một chiến lược dài hạn để tăng trưởng.,,,medium,B2,750,extremely common,"long-range plan, long-term plan",short-term strategy,"strategize, strategic, strategically","develop a long-term strategy, implement a long-term strategy",,strategy for + noun/V-ing,Không nhầm long-term với short-term.,Thường dùng trong planning và management.,Strategy / Management,long-term = dài hạn,word_parts,long-term strategy = kế hoạch đường dài,TRUE,4,,
,long-term treatment,noun phrase,điều trị dài hạn,/ˌlɔːŋ ˈtɜːrm ˈtriːtmənt/,Quá trình điều trị kéo dài trong một thời gian dài.,The patient requires long-term treatment for the condition.,Bệnh nhân cần điều trị dài hạn cho tình trạng này.,,,easy,B1,600,common,"prolonged treatment, extended treatment",short-term treatment,"treat, treatment","long-term treatment, long-term care, long-term therapy",,require/receive + treatment,Long-term thường có dấu gạch nối khi đứng trước danh từ.,Thường gặp trong Healthcare.,Healthcare,long-term = dài hạn,association,long-term treatment = điều trị dài hạn,TRUE,2,,
,look forward to,phrasal verb,mong đợi; mong chờ,/lʊk ˈfɔːrwərd tuː/,Mong chờ một sự việc sẽ xảy ra trong tương lai với cảm xúc tích cực.,We look forward to working with your company.,Chúng tôi mong được hợp tác với công ty của quý vị.,,,easy,B1,500,extremely common,"anticipate, await",dread,look forward,"look forward to meeting, look forward to hearing from you",look forward to,look forward to + noun/V-ing,"Sau to phải dùng danh từ hoặc V-ing, không dùng to + V nguyên mẫu.",Cấu trúc cực kỳ quan trọng trong email TOEIC: look forward to hearing from you.,Communication; Business,look forward to = mong chờ điều phía trước,association,look forward to + V-ing,TRUE,2,,
,look to,phrasal verb,tìm đến; hướng tới; dựa vào,/lʊk tuː/,"Tìm kiếm sự giúp đỡ, giải pháp hoặc hướng phát triển từ ai/cái gì.",The company looks to technology to improve efficiency.,Công ty tìm đến công nghệ để cải thiện hiệu suất.,,,medium,B2,700,common,"turn to, rely on",avoid,look,"look to experts, look to technology, look to the future",look to,look to + person/thing + to + verb,Không nhầm look to với look at; look to thường mang nghĩa trông cậy/hướng tới.,Thường dùng trong Business Strategy.,Business; Technology,look to = turn to for help/solutions,association,look to = tìm đến/dựa vào,TRUE,3,,
,look up to,phrasal verb,ngưỡng mộ; kính trọng,/lʊk ʌp tuː/,"Cảm thấy ngưỡng mộ hoặc kính trọng ai đó vì phẩm chất, năng lực hoặc thành tựu của họ.",Many young employees look up to their manager for her leadership skills.,Nhiều nhân viên trẻ ngưỡng mộ quản lý của họ vì kỹ năng lãnh đạo.,,,medium,B1,600,extremely common,admire; respect,look down on; despise,look; looked; looking,look up to someone; greatly look up to; look up to a leader,look up to,look up to + person,Không nhầm look up to = ngưỡng mộ với look up = tra cứu/tìm thông tin.,Thường dùng khi nói về người được kính trọng hoặc ngưỡng mộ.,Communication,look up to someone = nhìn lên người mình kính trọng,visual,look up to = ngưỡng mộ người khác,TRUE,2,,
,loss,noun,sự mất mát; khoản lỗ,/lɔːs/,Việc mất đi thứ gì đó hoặc số tiền bị mất trong kinh doanh.,The company reported a significant loss.,Công ty báo cáo một khoản lỗ đáng kể.,,,medium,B1,600,extremely common,"deficit, decline, damage","gain, profit","lose, lost","financial loss, net loss, loss of revenue",lose out,loss of + noun,loss là danh từ của lose; trong Business thường đối lập với profit.,Rất hay gặp trong Finance.,Business / Finance,lose → loss = mất mát/khoản lỗ.,contrast,loss ↔ gain/profit,TRUE,3,,
,lost and found,noun,bộ phận đồ thất lạc,/ˌlɒst ən ˈfaʊnd/,Nơi tiếp nhận và lưu giữ đồ vật bị thất lạc.,Please contact the lost and found if you lose your passport.,Vui lòng liên hệ bộ phận đồ thất lạc nếu bạn làm mất hộ chiếu.,,,easy,B1,500,extremely common,lost property office,,"lose, found","lost and found office, lost and found desk, lost and found service",,contact the lost and found,Không dịch từng từ thành “mất và tìm thấy” trong ngữ cảnh này.,Lost and found là tên cố định của dịch vụ/bộ phận.,Travel,lost ↔ found = mất ↔ tìm thấy,contrast,lost and found = nơi tìm đồ bị mất,TRUE,2,,
